vocabulary,ch_meaning,en_meaning,equation_1,equation_2,list,id
imbibe,v.喝水，摄取水分,take in liquid,imbibe = drink + alcohol,imbibe = consume + beverage,list16,917
impetuous,adj.冲动的，性急的，轻率的,impulsive vehemence,impetuous = hasty + thoughtless,impetuous = rash + spontaneous,list17,918
ignite,vt.激起，唤起(感情等),arouse the passions,ignite = excite + inspire,ignite = trigger + passion,list18,919
incessant,adj.无间断的,without interruption,incessant = continuous + unending,incessant = uninterrupted + persistent,list21,920
impede,vt.妨碍，阻碍,slow the progress of,impede = hinder + obstruct,impede = delay + prevent,list22,921
immure,vt.监禁，禁闭；使闭门不出,confine,immure = imprison + enclose,immure = confine + lock up,list23,922
impeccable,adj.无暇的，无可挑剔的,free from fault,impeccable = perfect + flawless,impeccable = faultless + excellent,list24,923
hedge,v.闪烁其词,avoid definite answer,hedge = avoid + protect,hedge = evade + safeguard,list26,924
imperturbable,adj.沉着冷静的，淡定的,extremely calm,imperturbable = calm + unshakable,imperturbable = composed + steady,list27,925
heartfelt,adj.真心实意的,genuine,heartfelt = genuine + sincere,heartfelt = deep + honest,list27,926
inch,v.(使)慢慢移动,move slowly,,,,927
incinerate,v.将…烧成灰烬,burn to ashes,,,,928
incite,vt.煽动，激起,provoke,,,,929
inclement,adj.(天气等)恶劣的；adj.无情的，严酷的,1. lacking mildness; 2. unmerciful,,,,930
impromptu,n.即席的表演；adj.即席的，即兴的,1. done extemporaneously; 2. without previous preparation,impromptu = spontaneous + unplanned,impromptu = improvisational + unrehearsed,list29,893
impotent,adj.无力的，无能的,lacking in power,impotent = powerless + ineffective,impotent = weak + unable,list29,891
hoard,v.贮藏，秘藏,keep hidden,hoard = accumulate + store,hoard = stockpile + save,list29,858
incogitant,adj.考虑不周的，不体谅的,inconsiderate,,,,931
incongruent,adj.不全等的；不一致的,not conforming,,,,932
incontrovertible,adj.不可争议的,not open to question,,,,933
incorrigible,adj.不可救药的，积习难改的；adj.无法管制的,1. incapable of being corrected; 2. impossible to control,,,,934
incriminate,vt.归罪于,accuse of a crime,,,,935
indelible,adj.无法忘怀的,not easily forgotten,,,,936
indemnity,n.(损害，伤害等的)保险赔偿,compensation,,,,937
indoctrinate,vt.教育，灌输思想,instruct,,,,939
indurate,adj.铁石心肠的，冷酷无情的；vt.使变硬,1. a lack of sympathy; 2. physically firm,,,,940
ineffable,adj.难以表达的,incapable expressed,,,,941
ineluctable,adj.无法逃避的，必然的,not to be avoided,,,,942
infamous,adj.臭名昭著的,bad reputation,,,,943
infatuate,vt.使迷恋,inspire with unreasoning love,,,,944
incommensurate,adj.不相称的,too large or too small,,,,945
infiltrate,vt.秘密潜入,enter surreptitiously,,,,946
infinite,adj.无尽的，无限的,no boundaries,,,,947
infirm,adj.虚弱的；adj.不果断的，优柔寡断的,1. weak in body; 2. lacking firmness of will,,,,948
inflame,vt.使加剧,more voilent,,,,949
infelicitous,adj.不愉快的，不幸的；adj.不适当的，不合时宜的,1. unfortune; 2. not appropriate,,,,950
influx,n.滴入,coming in,,,,951
infuse,vt.灌输，使…充满,fill,,,,952
ingest,vt.摄入，咽下,take into body,,,,953
ingrained,adj.本质的，根深蒂固的,firmly established,,,,954
ingratiating,adj.讨人喜欢的；adj.逢迎的，意在奉承的,1. winning favor; 2. gain favor,,,,955
inimitable,adj.无法仿效的，独特的,not imitated,,,,956
iniquity,n.邪恶，不公正,immorality injustice,,,,957
initiate,vt.创始，发动促进,cause beginning,,,,958
inkling,n.轻微暗示，小提示,slight indication,,,,959
insensible,adj.无知觉的,lost consciousness,,,,961
inconsistent,adj.不一致的，矛盾的,not being in agreement,,,,962
insentient,adj.无感觉的，无知觉的；adj.一知半解的，略懂的,1. lacking perception; 2. not having a deep understanding,,,,963
inconclusive,adj.没有定论的,not certainly true,,,,964
insouciant,adj.无忧虑的，不在乎的,free from concern,,,,965
instate,vt.任命,establish rank,,,,966
instill,vt.灌输，使…充满,impart,,,,967
institute,vt.创立，制定,eatablish,,,,968
insubordinate,adj.不服从权威的,not submissive,,,,969
insurgent,n.叛乱分子,opposes authority,,,,970
integral,adj.完整的,not lacking any part,,,,971
integrity,n.正直；n.完整性,1. adherence moral; 2. being whole,,,,972
intemperate,adj.无节制的，极端的，不温和的,not temperate,,,,973
intensify,vt.加强，激化,make intense,,,,974
inter,vt.埋葬,place in grave,,,,975
intercessor,n.调停者,mediates,,,,976
interdict,vt.禁止,forbid,,,,977
interim,n.中间过渡时期，间隔；adj.暂时的,1. time between event; 2. for the time being,,,,978
interlock,vi.连锁，连结,joined closely,,,,979
interregnum,n.过渡期,break,,,,980
interrogate,vt.质问，审问,question formally,,,,981
inherent,adj.内在的，本质的,essential,inherent = intrinsic + fundamental,inherent = natural + built-in,list3,982
inevitable,adj.不可避免的，必然的,incapable avoided,inevitable = unavoidable + certain,inevitable = inescapable + predictable,list4,983
instigate,vt.煽动，激起,urge forward; stir up,instigate = provoke + action,instigate = stir up + event,list6,984
intermittent,adj.断断续续的,not continuous,intermittent = sporadic + irregular,intermittent = periodic + infrequent,list7,985
indigent,adj.贫穷的,lacking money,indigent = poor + needy,indigent = impoverished + destitute,list9,986
ingenuous,adj.天真淳朴的,lacking cunning,ingenuous = naive + trusting,ingenuous = unsophisticated + simple,list12,987
inexorable,adj.无法劝阻的，不为所动的,not persuaded,inexorable = unstoppable + relentless,inexorable = inevitable + unyielding,list13,988
indulgent,adj.(对己)放纵的，(对他人)纵容的,given to indulgence,indulgent = lenient + generous,indulgent = permissive + spoiling,list13,989
interminable,adj.无尽头的,no end,interminable = endless + tedious,interminable = infinite + monotonous,list14,990
insipid,adj.平淡的，无聊的,lacking interest,insipid = dull + uninteresting,insipid = bland + lifeless,list17,991
intermediary,n.中间人,bring about an agreement,intermediary = middle + connecting,intermediary = intermediate + linking,list17,992
indict,vt.起诉，控告,accuse,indict = criticize + blame,indict = condemn + accuse,list18,993
intangible,adj.无法感知的，无形的,incapable perceived,intangible = untouchable + invisible,intangible = immaterial + abstract,list19,994
inculpate,vt.归罪于,incriminate,inculpate = accuse + blame,inculpate = implicate + guilt,list20,995
insulate,vt.使绝缘，使隔离，不受外界影响,detached situation,insulate = protect + isolate,insulate = shield + barrier,list21,996
industrious,adj.勤勉的,diligent,industrious = diligent + hard-working,industrious = persistent + productive,list21,997
inconsequential,adj.不重要的,no significance,inconsequential = unimportant + insignificant,inconsequential = trivial + irrelevant,list23,998
inimical,adj.带有敌意的,hostility,inimical = harmful + obstructive,inimical = detrimental + injurious,list25,999
ingenious,adj.聪明的，有创造才能的,"resourcefulness, cleverness",ingenious = creative + resourceful,ingenious = inventive + clever,list26,1000
intoxicant,n.使人陶醉的东西(尤指饮料),intoxicates,,,,1001
intrigue,n.阴谋；vt.激起…的兴趣,1. secret plan; 2. arouse curiosity,,,,1002
inundate,vt.淹没,cover with flood,,,,1003
inveigh,vi.激烈抗议，表示强烈不满,protest vehemently,,,,1004
inventory,n.(包含要点的)简介,short statement,,,,1005
invincible,adj.不可战胜的，不可超越的,incapable conquered,,,,1006
irate,adj.极其愤怒的,extremely angry,,,,1007
iridescent,adj.五颜六色的,lustrous colors,,,,1008
irk,vt.使烦恼，使厌倦,irritating,,,,1009
ironclad,adj.非常坚固的，坚不可摧的,unbreakable,,,,1010
irradicable,adj.不能根除的,impossible destroy,,,,1011
irrigate,vt.灌溉；vt.冲洗,1. supply water; 2. flush,,,,1012
issue,n.(有争议的)话题，议题；v.(使)流出,1. matter that is in dispute; 2. flow out,,,,1013
jabber,vi.快而不清楚地说,"talk rapidly, indistinctly",,,,1014
jape,v.嘲弄,mockingly,,,,1015
jaundice,n.(因嫉妒或厌世而产生的)偏见,bias,,,,1017
jaunty,adj.轻快的，活泼的,sprightly,,,,1018
jeopardy,n.危险,risk of danger,,,,1020
jest,n.轻浮的态度，戏谑,frivolous,,,,1021
jingoist,n.极端爱国激进分子(通常表现为好战的对外政策),extreme nationalism; belligerent,,,,1022
jitters,n.紧张，不安,panic; nervouness,,,,1023
jocular,adj.搞笑的，欢乐的,"joking, playful",,,,1024
jocund,adj.欢快的，高兴的,sprightly and lighthearted,,,,1025
jog,vt.唤起,rouse,,,,1026
jolt,vt.惊吓,unpleasant surprise,,,,1027
jot,vt.简要记录,write briefly,,,,1028
jubilant,adj.喜悦的,joyful,,,,1029
juggernaut,n.无法阻挡的力量，摧毁一切的强大力量,overwhelming force,,,,1030
ken,n.视野范围,vision,,,,1031
kidnap,vt.绑架勒索,detain by unlawful force,,,,1032
knack,n.诀窍，聪明的做法,clever,,,,1033
kilter,n.平衡,fitness,,,,1034
knit,vt.连接，联系,join closely,,,,1035
kudos,n.名望，名声；n.夸奖，赞扬,1. fame; 2. acclaim or praise,,,,1036
labile,adj.易变的，不稳定的,unstable,,,,1037
lacerate,vt.使非常痛苦,cause pain,,,,1038
libelous,adj.恶意中伤的，诽谤的,libel,,,,1039
lampoon,n.讽刺,harsh satire,,,,1040
languor,n.懒惰；n.衰弱,"1. inertness; 2. weakness, weariness",,,,1041
lank,adj.细长瘦弱的；adj.不僵硬的，柔软松弛的,1. long and lean; 2. not stiff; limp,,,,1042
lash,v.猛击，撞击,strike with force,,,,1043
leer,vi.一瞥，斜眼看,sidelong,,,,1044
leery,adj.怀疑的，不信任的,suspicious,,,,1045
legacy,n.遗产,handed down from an ancestor,,,,1046
legion,adj.大量的,numerous,,,,1047
lethal,adj.非常有害的，致命的,extremely harmful,,,,1048
levelheaded,adj.明智的,sensible,,,,1049
liability,n.责任,liable,,,,1050
liberal,adj.思想前卫的；adj.慷慨的，大方的,1. not bound; 2. generosity,,,,1051
libertine,n.放荡不羁者,without moral restraint,,,,1052
nudge,vt.说服某人做某事,persuade,,,,1053
latent,adj.潜在的，不活跃的,"potential, not evident",latent = hidden + dormant,latent = potential + unseen,list3,1054
invoke,vt.实施；vt.产生，造成,1. put into effect; 2. be the cause,invoke = call upon + summon,invoke = appeal to + entreat,list4,1055
irritate,vt.刺激，惹恼,provoke anger,irritate = annoy + exasperate,irritate = aggravate + bother,list4,1056
irascible,adj.易怒的,easily provoked anger,irascible = easily + angered,irascible = quick + tempered,list6,1057
lapse,n.小过失,slight error,lapse = temporary failure + slip,lapse = momentary + oversight,list8,1058
knotty,adj.复杂的，困难的,full of difficulties and complications,knotty = complex + complicated,knotty = intricate + tangled,list9,1059
laconic,adj.简洁(以至于显得粗鲁或难以理解)的,minimum of words; concise,laconic = brief + concise,laconic = terse + minimal,list10,1060
lambaste,vt.严厉斥责,scold sharply,lambaste = criticize + harshly,lambaste = scold + severely,list11,1061
leaven,vt.在…中加入轻松、活泼或变更的因素,"mingle, permeate",leaven = transform + improve,leaven = infuse + positive change,list13,1063
lenient,adj.宽大仁慈的,merciful,lenient = permissive + forgiving,lenient = tolerant + gentle,list13,1064
intuitive,adj.直觉的,by intuition,intuitive = instinctive + natural understanding,intuitive = innate + perceptive,list15,1065
languish,vi.变得衰弱,become feeble,languish = weaken + lose vitality,languish = deteriorate + decline,list16,1066
laudatory,adj.表示赞扬的,praise,laudatory = praise + approval,laudatory = commendation + positive,list17,1067
levity,n.轻浮的态度，戏谑,frivolity,levity = lightness + frivolity,levity = humor + lack of seriousness,list17,1068
lethargic,adj.没精打采的，行动迟缓的,sluggish,lethargic = sluggish + apathetic,lethargic = tired + unmotivated,list20,1069
lucrative,adj.有利可图的,profit,lucrative = profitable + money-making,lucrative = high-earning + financially rewarding,list20,1070
jovial,adj.愉快的,good-humored by jollity and conviviality,jovial = cheerful + friendly,jovial = merry + good-natured,list22,1071
inveigle,vt.诱骗,win over by coaxing,inveigle = persuade + deception,inveigle = flattery + manipulate,list23,1072
invigorate,vt.使精神，使强壮，鼓舞激励,impart vigor,invigorate = energize + strengthen,invigorate = stimulate + revitalize,list24,1073
intransigent,adj.不妥协的，固执的,refusal to compromise,intransigent = uncompromising + stubborn,intransigent = obstinate + unyielding,list26,1074
kindle,vt.点燃,set fire; ignite,kindle = start + fire,kindle = arouse + interest,list27,1075
kindred,adj.类似的；具有相似或相近的起源、本性或性质的,"similar, origin",kindred = similar + related,kindred = alike + connected,list27,1076
licentious,adj.放荡的，性欲强的,lacking restraint,,,,1077
limber,adj.可塑的，柔软的,flexible,,,,1078
lissome,adj.柔软的；adj.敏捷的，轻盈的,1. easily bent; 2. move with ease,,,,1079
list,v.(使)倾斜,at an angle,list = tilt + lean,list = incline + slant,list28,1080
jarring,adj.刺耳的,discordant,jarring = harsh + grating,jarring = discordant + shrill,list28,1016
lithe,adj.敏捷的，轻盈的；adj.柔软的,1. grace; 2. easily bent,,,,1081
lofty,adj.崇高的；adj.自大的,1. elevated; 2. superiority,,,,1082
loll,vi.偷懒，打发时间,doing nothing,,,,1083
loutish,adj.粗鲁的,"awkward,stupid,and boorish",,,,1084
lubricate,vt.使润滑,reduce friction,,,,1085
lug,vt.费力搬运,laboriously,,,,1086
lullaby,vt.使镇静，使安心,free from distress,,,,1088
lumber,vi.笨拙地行动；vt.使负担(从而拖累),1. clumsiness; 2. burden,,,,1089
lustrous,adj.有光泽的,shiny,,,,1091
luxurious,adj.奢侈的,excessive gratification,,,,1092
lyric,adj.如诗歌般流畅甜美的,suggestive of poetry or music,,,,1093
macabre,adj.恐怖的,horror of death,,,,1094
macerate,vt.浸化(以软化),soaking or steeping,,,,1095
maculate,vt.使有斑点，弄脏；玷污，损坏,spot,,,,1096
magnificent,adj.壮丽的,impressive,,,,1097
maladroit,adj.笨拙的,lack of nimbleness,,,,1098
malaise,n.不舒服,bodily discomfort,,,,1099
malcontent,n.不满分子；adj.不满的,1. opposition; 2. dissatisfied,,,,1100
mandatory,adj.强制的,forcing compliance,,,,1103
mangle,vt.弄砸,ruin,,,,1104
mangy,adj.卑劣的,contemptible,,,,1105
mania,n.热衷，狂热,intense enthusiasm,,,,1106
mannered,adj.不自然的，做作的,artificial,,,,1107
manumit,vt.解放(奴隶),release from slavery,,,,1108
mash,vt.捣碎,puply mass,,,,1109
masquerade,n.面具，伪装；vi.伪装，掩饰,1. display insincere; 2. disguise,,,,1110
mastery,n.技艺超群，精通,great skill,,,,1111
matriculate,v.录取,adimit or be admitted,,,,1112
maven,n.专家,experienced,,,,1113
mean,adj.卑贱的；adj.吝啬的,1. ignoble; 2. sharing little,,,,1115
measly,adj.少得可怜的，微不足道的,small,,,,1116
meek,adj.顺从的,submissive,,,,1117
mellifluous,adj.(曲调)优美的,smooth and sweet,,,,1118
mendacious,adj.撒谎的，虚假的,lies,,,,1119
mentor,vt.教导，指导,give advice,,,,1120
merited,adj.应得的，理所当然的,what is called for,,,,1122
mesh,v.诱捕,catch,,,,1123
mesmeric,adj.令人着迷的，难以抗拒的,attracting,,,,1124
metamorphose,vt.(使)变形,change,,,,1125
metaphysical,adj.哲学上的，理论上的；adj.非尘世的,1. idea; 2. beyond universe,,,,1126
meteoric,adj.流星般迅速而短暂的,brevity,,,,1127
methodical,adj.井然有序的，有条理的,systematic order,,,,1128
mettle,n.勇气；n.毅力，耐力,1. strength of spirit; 2. stamina,,,,1129
miff,vt.使恼怒,annoyed,,,,1130
migratory,adj.迁移的,moving from one region to another,,,,1131
milk,vt.榨取(财富、信息等),coerce profit,,,,1132
mime,v.模仿,model,,,,1133
minatory,adj.带来威胁的，有凶兆的,a sign of evil,,,,1134
mingle,vt.混合，结合,mix,,,,1135
meddle,vi.干涉，管闲事,intrude,meddle = interfere + unwanted,meddle = intrude + uninvited,list3,1136
martinet,n.纪律严明之人,strict,martinet = strict enforcer + disciplinarian,martinet = taskmaster + authoritarian,list3,1137
measured,adj.深思熟虑的,calculated,measured = careful + restrained,measured = deliberate + controlled,list5,1138
lurk,vi.潜伏,lie in wait,lurk = hide + background,lurk = skulk + conceal,list7,1139
loquacious,adj.话多的,excessive talk,loquacious = chatty + verbose,loquacious = talkative + fond of talking,list8,1140
meticulous,adj.极为谨慎的,extreme or excessive care,meticulous = attention to detail + careful,meticulous = precision + carefulness,list8,1141
malfeasance,n.非法行为,illegal behavior,malfeasance = wrongdoing + official misconduct,malfeasance = misconduct + illegality,list9,1142
meet,adj.合适的,very proper,meet = situation + perfect fit,meet = requirement - excess - deficiency,list10,1143
mimic,adj.仿真的，仿造的；vt.模仿,1. in appearance; 2. model,mimic = imitate + mock,mimic = parody + copy,list12,1144
lopsided,adj.不平衡的，不协调的,lacking in balance,lopsided = uneven + asymmetrical,lopsided = tilted + unequal,list11,1145
limpid,adj.透明清澈的,transparent clearness,limpid = clear + transparent,limpid = crystal + unclouded,list18,1146
mar,vt.破坏，削弱,impair,mar = damage + spoil,mar = harm + deface,list18,1147
lucid,adj.表达清晰的，简单易懂的,easily understood,lucid = clear + understandable,lucid = coherent + comprehensible,list18,1148
meander,vi.闲逛，漫步,aimlessly and idly,meander = wind + wander,meander = curve + loop,list19,1149
marvel,n.令人惊奇的食物；v.(因为壮观、美丽等而)表示惊讶,"1. surprise,admiration,or wonder; 2. feel amazement",marvel = wonder + astonishment,marvel = admire + be amazed,list21,1150
ministration,n.帮助,aiding,ministration = assistance + care,ministration = support + service,list22,1151
loath,adj.不情愿的，讨厌的,reluctant,loath = unwilling + reluctant,loath = hesitant + disinclined,list23,1152
lurch,vi.蹒跚,swaying,lurch = sudden movement + unsteady,lurch = jerk + stagger,list23,1153
luminary,n.杰出人物,eminence,luminary = influential person + inspiration,luminary = expert + role model,list25,1154
liken,vt.显示相似，把…比作,show as similar,liken = compare + similarity,liken = equate + analogy,list25,1155
mint,adj.无损坏的,unmarred,,,,1157
minutiae,n.次要的细节，小事,minor detail,,,,1159
mirage,n.海市蜃楼，幻想,illusory,,,,1160
mire,n.困境；vt.使陷入困境，拖后腿,1. difficult situation; 2. hold back,,,,1161
malign,adj.恶意的；vt.诽谤,1. cause suffering; 2. utter injuriously,malign = slander + defame,malign = criticize + harm,list29,1101
minuscule,adj.极小的,very small,minuscule = tiny + minute,minuscule = microscopic + insignificant,list29,1158
meager,adj.贫乏的,deficient,meager = scanty + insufficient,meager = thin + undernourished,list30,1114
misanthropic,adj.反人类的,deep distrust of human,,,,1162
misbehaving,adj.调皮的，行为不端的,childish misbehavior,,,,1163
mischievous,adj.调皮的，淘气的,naughty teasing,,,,1164
miscreant,n.恶棍，罪犯,behaves criminally,,,,1166
misdemeanour,n.轻罪,crime less serious,,,,1167
mite,n.微小的东西，很少的钱,small object,,,,1168
mollycoddle,vt.宠爱，溺爱,excessive indulgence,,,,1169
molt,vi.脱(羽、皮等),shed feathers,,,,1170
mongrel,adj.杂种的，混血儿的,mixed origin,,,,1171
monologue,n.独白,by one actor,,,,1172
montage,n.大杂烩,collection,,,,1173
moratorium,n.延期，暂缓实行,suspension,,,,1174
moribund,adj.即将过时的,obsolete,,,,1175
morose,adj.忧郁的,slluen gloomy,,,,1176
mosaic,n.综合物，马赛克般的东西,collection,,,,1177
moth-eaten,adj.过时的,passed its time,,,,1178
motile,adj.能动的,movement,,,,1179
mottle,vt.标记上杂色斑点的,mark spots,,,,1180
mournful,adj.悲伤的,expressing sorrow,,,,1181
muddy,adj.浑浊的，不清晰的；vt.使难以理解,1. lacking clarity; 2. make unclear,,,,1182
muffle,vt.使消声,deaden the sound,,,,1183
mulish,adj.固执的,obstinate,,,,1184
mumble,v.说话含糊,utter confused,,,,1185
murmur,vi.低声抱怨，发牢骚,grumble,,,,1186
mutate,v.(使)改变，(使)变异,undergo mutation,,,,1187
mutter,vi.低声抱怨,murmur complainingly,,,,1188
myriad,adj.无限的，大量的,indefinite number,,,,1189
naïve,adj.天真纯朴的,lacking wordly experience,,,,1191
narcissistic,adj.自恋的,undue fascination with oneself,,,,1192
natty,adj.整洁的，时髦的,tidy,,,,1193
nauseate,v.(使)厌恶，(使)作呕,cause disgust,,,,1194
nautical,adj.航海的,water,,,,1195
naysay,vt.拒绝，否认,"oppose,deny",,,,1196
negation,n.否定,opposite,,,,1197
negotiate,v.商量，谈判,by mutual agreement,,,,1199
nerve,n.(坚强的)意志，勇气；vt.给予勇气，鼓励,1. power of endurance; 2. give courage,,,,1200
neutralize,vt.使无效,make inoperative or ineffective,,,,1201
nibble,vt.小口咬,small bites,,,,1202
nicety,n.准确，精确,careful details,,,,1203
nil,n.不存在，零,nothing,,,,1204
nip,n.少量；vi.小口吃喝,1. small amount; 2. in small amount,,,,1205
nitpick,v.吹毛求疵,criticize,,,,1206
nomad,adj./n.游牧的；居无定所的人,no fixed residence,,,,1207
notch,vt.通过努力获得,obtain,,,,1208
noxious,adj.有害的，有毒的；adj.产生强烈厌恶的,1. harmful;injurious to health; 2. causing intense displeasure,noxious = harmful + poisonous,noxious = toxic + dangerous,list3,1209
nonchalant,adj.冷漠的,indifference,nonchalant = casual + calm,nonchalant = unconcerned + indifferent,list1,1210
majestic,adj.宏伟壮丽的,impressively beautiful,majestic = impressive + beauty,majestic = dignity + grandeur,list5,1211
mollify,vt.平息，抚慰，缓和,calm,mollify = soothe + anger,mollify = appease + distress,list6,1212
momentous,adj.极重要的,utmost importance,momentous = important + significant,momentous = major + impactful,list7,1213
multifarious,adj.多种多样的,many and various,multifarious = varied + diverse forms,multifarious = many parts + diverse,list8,1214
moderate,vt.使缓和；adj.适度的，中庸的,1. lessen intensity; 2. within limits,moderate = reduce + intensity,moderate = alleviate + severity,list10,1215
nonentity,n.不重要的人,little consequence,nonentity = unimportant person + insignificant,nonentity = no influence + nobody,list11,1216
mishap,n.不幸之事,unfortunate,mishap = accident + misfortune,mishap = blunder + incident,list12,1217
neophyte,n.初学者，新手,beginner,neophyte = beginner + novice,neophyte = newcomer + learner,list11,1218
mundane,adj.平凡的,commonplace,mundane = boring + ordinary,mundane = dull + routine,list13,1219
monochromatic,adj.单调无聊的,lacking variety,monochromatic = single color + variations,monochromatic = uniform hue + shades,list14,1220
mitigate,vt.减轻痛苦，使缓和,less severe,mitigate = alleviate + reduce severity,mitigate = lessen + ease,list14,1221
nascent,adj.新生的,recently come into existence,nascent = emerging + developing,nascent = formative + initial,list15,1222
needy,adj.贫困的,impoverished,needy = lacking necessities + poor,needy = impoverished + deprived,list16,1223
mirth,n.欢乐，欢笑,gladness,mirth = amusement + laughter,mirth = joy + humor,list16,1224
munificent,adj.慷慨的,liberal in giving,munificent = generous + lavish,munificent = magnanimous + open-handed,list18,1225
monolithic,adj.大一统的,"single, uniform",monolithic = single block + uniform,monolithic = massive + indivisible,list19,1226
motivate,vt.刺激，激发,provide incentive,motivate = inspire + encourage,motivate = stimulate + drive,list20,1227
nocturnal,adj.夜间的,in the night,nocturnal = nighttime + active,nocturnal = night-living + awake at night,list21,1228
nettle,vt.惹怒,arouse anger,nettle = annoy + irritate,nettle = bother + provocation,list22,1229
modicum,n.少量,small portion,modicum = small quantity + measure,modicum = little + bit,list23,1230
misgiving,n.担忧，疑虑,doubt,misgiving = doubt + unease,misgiving = concern + apprehension,list23,1231
nexus,n.连结；n.核心，最重要的地带,1. connection; 2. greatest importance,nexus = link + connection,nexus = network + bond,list26,1232
monotonous,adj.无聊的,tediously unvarying,monotonous = repetitive + boring,monotonous = unvaried + tedious,list27,1233
nurture,vt.培育，培养,provide with understanding,,,,1234
obedient,adj.服从的，顺从的,submissive authority,,,,1236
obliging,adj.乐于助人的,do favors,,,,1237
obsess,vt.迷住；使困扰,haunt,,,,1238
misconstrue,vi.误解，曲解,mistake,misconstrue = misunderstand + interpret wrongly,misconstrue = misinterpret + confuse,list28,1165
odium,n.憎恶，讨厌,strong dislike,,,,1239
offbeat,adj.不平常的,different from generally found,,,,1240
offhand,adj.即兴的，没有准备的,without premeditation,,,,1241
omniscient,adj.无所不知的,complete knowledge,,,,1242
opine,v.表达观点；想，认为,express opinions,,,,1243
opprobrious,adj.辱骂的；adj.臭名昭著的，令人鄙视的,1. reproach; 2. infamous,,,,1244
outrageous,adj.过分的，难以容忍的；adj.极坏的，极可怕的,1. exceeding the limits; 2. bad or horrible,,,,1245
orient,vt.使确定方向，使熟悉或适应,determinate position;make familiar,,,,1246
ostracize,vt.驱逐,exclude,,,,1248
overweening,adj.傲慢的，专横的,"feeling of superiority,overbearing",,,,1249
outmaneuver,vt.以策略取胜,overcome,,,,1250
outset,n.开端，开始,beginning,,,,1251
outwit,vt.欺瞒，以智取胜,surpass cunning,,,,1252
overlap,v.(与…)部分重叠,same area,,,,1253
overture,n.前言；n.序曲,1. introductory prelude; 2. opera,,,,1254
oxymoron,n.矛盾修饰法,combination contradictory,,,,1255
pacify,vt.使平静，安慰,ease the anger,,,,1256
padding,n.夸张，废话,go beyond the facts,,,,1257
palatial,adj.宫殿般奢华的,ornateness,,,,1259
pall,vi.失去兴趣,interest attraction,,,,1260
pallid,adj.无生气的，缺乏活力的；adj.苍白无血色的,"1. lacking radiance,vitality; 2. pale",,,,1261
palmy,adj.繁荣的,prosperity,,,,1262
palter,vi.欺骗；讨价还价,"insincerely,deceitfully",,,,1263
panoramic,adj.全景的,complete view,,,,1266
paradise,n.快乐，狂喜,pleasurable emotion,,,,1267
paradox,n.矛盾，悖论,opposed to common sense,,,,1268
paranoid,adj.多疑的，对他人极端恐惧和怀疑的,extreme fear or distrust,,,,1269
paraphrase,v.转述，意译，改写,in different words,,,,1270
parch,v.炽，烤；烤干,dry,,,,1271
parenthesis,n.间断,interruption,,,,1272
pariah,n.被排斥或鄙视的人,despised or rejected,,,,1273
paroxysm,n.(政治、社会领域的)大动荡,disturbance,,,,1274
parrot,vt.(机械地)模仿，复制,"imitate,without understanding",,,,1275
parry,vt.躲避(问题),evade,,,,1276
partial,adj.偏袒的，偏爱的；adj.部分的，不完整的,1. biased; 2. lacking,,,,1277
particularize,vt.详述,give details,,,,1278
partition,n.分割，划分,dividing,,,,1279
paean,n.欢乐颂，赞扬,"joyous song,praise",paean = praise + song,paean = tribute + enthusiasm,list2,1280
nugatory,adj.无关紧要的,consequence;inconsequential,nugatory = worthless + insignificant,nugatory = useless + futile,list3,1281
pandemonium,n.喧嚣，骚动,noise,pandemonium = chaos + uproar,pandemonium = bedlam + turmoil,list3,1282
onerous,adj.费时间花心思的,"required much time,effort",onerous = burdensome + heavy responsibilities,onerous = demanding + stressful,list4,1283
obstruct,vt.妨碍，给…制造困难,"impede,create difficulty",obstruct = block + passage,obstruct = close off + route,list6,1284
obstreperous,adj.不听话的，任性的,unruly,obstreperous = noisy + uncontrollable,obstreperous = unruly + boisterous,list6,1285
obstinate,adj.固执的,in spite of persuasion,obstinate = stubborn + refusal,obstinate = persistent + resistance,list8,1286
palatable,adj.感到愉悦满足的,pleasure or contentment,palatable = tasty + pleasant,palatable = flavorful + enjoyable,list9,1287
offish,adj.冷淡的,aloof,offish = distant + aloof,offish = reluctant + unsocial,list9,1288
panache,n.炫耀,flamboyance,panache = style + flair,panache = confidence + elegance,list10,1289
paramount,adj.最重要的,chief importance,paramount = supreme + most important,paramount = primary + dominant,list11,1290
officious,adj.多管闲事的,thrusting oneself,officious = overbearing + bossy,officious = pushy + overzealous,list12,1291
oblique,adj.斜的,inclined or twisted,oblique = slanting + angled,oblique = diagonal + inclined,list12,1292
opportune,adj.合适的，适当的,convenient,opportune = timely + favorable,opportune = convenient + well-timed,list12,1293
ominous,adj.凶兆的,omen evil,ominous = threatening + foreboding,ominous = menacing + bad omen,list13,1294
obloquy,n.谩骂，诽谤,abusively language,obloquy = public criticism + verbal abuse,obloquy = disgrace + condemnation,list14,1295
partisan,n.有偏见的人；adj.偏袒的,one side,partisan = supporter + advocate,partisan = devotee + follower,list15,1296
provenance,n.来源，起源,"origin, source",provenance = origin + history,provenance = source + beginning,list17,1297
oust,vt.驱逐,drive out,oust = remove + force,oust = displace + authority,list17,1298
ossify,v.(使)硬化，(使)僵化,hardened conventional and opposed to change,ossify = harden + solidify,ossify = stiffen + rigidify,list19,1299
